model,seed,negative_mode,n_real_bs,n_hard_neg,auc,prc,acc,f1,mcc,real_bs_score,mismatch_score,score_gap
bscan,42,lower_intron,2466,2466,0.5605369275183864,0.5388064593992465,0.5225060827250608,0.6558526961858834,0.071217744282966,0.9091841578483582,0.8610487580299377,0.0481353998184204
bscan,123,lower_intron,2466,2466,0.5209353287434165,0.5428075803233617,0.4478913219789132,0.5551380493383434,-0.1189580904238745,0.7424532175064087,0.7776644825935364,-0.0352112650871276
bscan,315,lower_intron,2466,2466,0.5237982712497427,0.5439056607611521,0.4412003244120032,0.5600255427841635,-0.1397378285981828,0.7671836614608765,0.8240180611610413,-0.0568343997001647
bscan_unified_fm_mambaadapter,42,lower_intron,2466,2466,0.4959581697953481,0.49876952091308036,0.4997972424979724,0.6663059651021236,-0.006371236358027843,0.9973859190940857,0.9986458420753479,-0.001259922981262207
bscan_unified_fm_mambaadapter,123,lower_intron,2466,2466,0.49693906882178324,0.497514162373493,0.49939172749391725,0.6610844200411805,-0.004065402686543989,0.9687727689743042,0.9697484374046326,-0.0009756684303283691
bscan_unified_fm_mambaadapter,315,lower_intron,2466,2466,0.5022162726955204,0.5113143029586605,0.4997972424979724,0.6663059651021236,-0.006371236358027843,0.9971778392791748,0.9980323314666748,-0.0008544921875
