model,negative_mode,seed_mean,seed_std,n_real_bs_mean,n_real_bs_std,n_hard_neg_mean,n_hard_neg_std,auc_mean,auc_std,prc_mean,prc_std,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,real_bs_score_mean,real_bs_score_std,mismatch_score_mean,mismatch_score_std,score_gap_mean,score_gap_std
bscan,ls_lower_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.7264500916163529,0.0698937801588735,0.779209896041455,0.025378061717509916,0.5742768315761017,0.054849683228307945,0.6416209433439314,0.06344192359782244,0.16921726791863903,0.13749973311944608,0.8062736789385477,0.08997679543432942,0.6281474630037943,0.030259958849816478,0.1781262159347534,0.09212063952030726
bscan_unified_fm_mambaadapter,ls_lower_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5339692540913822,0.006035383549556306,0.5304426527855282,0.007922394161075014,0.4999324141659908,0.0006194344005077122,0.6646870234804719,0.0026495599822537745,-0.009025955122005007,0.014500784915290168,0.9877788424491882,0.01646007126357177,0.9874946276346842,0.018643659225452563,0.0002842148145039876,0.0022432526808260126
circcnn,ls_lower_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.7186386656308986,0.05085426850137666,0.7856974138076017,0.025415716570229233,0.6000946201676128,0.035440441534264865,0.6425291908965383,0.05235545080318706,0.21221748645544647,0.08620467513343075,0.7614567677179972,0.08041739786980881,0.5574150184790293,0.05205286989427026,0.2040417492389679,0.057666596084783896
circcnndouble,ls_lower_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.6574330056105561,0.060340409931744714,0.6804733842033225,0.0569897829483107,0.5579886455798865,0.011838329746143518,0.6300542773183276,0.03617327015336372,0.1299043830126347,0.03305871180704159,0.7372067173322042,0.09288351430199096,0.620107889175415,0.07387902717603172,0.11709882815678911,0.021708388406484636
circdc,ls_lower_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.6375679777551067,0.020060025940119092,0.6937224083902468,0.033194119762658465,0.5260205460935388,0.01494411281664728,0.5804327516556196,0.010409977006386047,0.0537991037680619,0.03066611766085261,0.7455232540766398,0.008296402647155124,0.6727108756701151,0.018780567774295355,0.0728123784065246,0.025172404069839373
jedi,ls_lower_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5491808081665175,0.008844602900723642,0.5652586407923211,0.0024701491087702047,0.5232495268991619,0.003490335586286959,0.5834534497312395,0.0107050199239795,0.04868621011163634,0.007859085748580664,0.698826014995575,0.02315474964577974,0.6596749822298685,0.016327297524201957,0.039151032765706334,0.008087335577348356
