model,seed,alpha,auc,prc
bscan_unified_ernie,1004,1.0,0.832216,0.736545
bscan_unified_ernie,2024,0.0,0.804845,0.687583
bscan_unified_ernie,2024,0.02,0.805454,0.691968
bscan_unified_ernie,2024,0.05,0.806193,0.692361
bscan_unified_ernie,2024,0.1,0.807327,0.693149
bscan_unified_ernie,2024,0.2,0.808866,0.694298
bscan_unified_ernie,2024,0.5,0.806839,0.694228
bscan_unified_ernie,2024,1.0,0.786931,0.68538
bscan_unified_ernie,2025,0.0,0.837608,0.714872
bscan_unified_ernie,2025,0.02,0.838344,0.726915
bscan_unified_ernie,2025,0.05,0.838743,0.727341
bscan_unified_ernie,2025,0.1,0.839354,0.728361
bscan_unified_ernie,2025,0.2,0.840228,0.729809
bscan_unified_ernie,2025,0.5,0.840906,0.731866
bscan_unified_ernie,2025,1.0,0.833076,0.730269
bscan_unified_ernie,2026,0.0,0.862094,0.76367
bscan_unified_ernie,2026,0.02,0.863599,0.779977
bscan_unified_ernie,2026,0.05,0.863672,0.779992
bscan_unified_ernie,2026,0.1,0.863672,0.779696
bscan_unified_ernie,2026,0.2,0.863725,0.779384
bscan_unified_ernie,2026,0.5,0.862944,0.77857
bscan_unified_ernie,2026,1.0,0.857912,0.774345
bscan_unified_ernie,3407,0.0,0.851848,0.758092
bscan_unified_ernie,3407,0.02,0.852152,0.764954
bscan_unified_ernie,3407,0.05,0.852352,0.765099
bscan_unified_ernie,3407,0.1,0.852634,0.765204
bscan_unified_ernie,3407,0.2,0.853128,0.765275
bscan_unified_ernie,3407,0.5,0.853913,0.765918
bscan_unified_ernie,3407,1.0,0.851303,0.764604
bscan_unified_ernie,9001,0.0,0.83977,0.722907
bscan_unified_ernie,9001,0.02,0.84015,0.728313
bscan_unified_ernie,9001,0.05,0.840545,0.728946
bscan_unified_ernie,9001,0.1,0.841152,0.729856
bscan_unified_ernie,9001,0.2,0.842171,0.731455
bscan_unified_ernie,9001,0.5,0.843978,0.734962
