,,seed,seed,epoch,epoch,auc,auc,prc,prc,acc,acc,f1,f1,mcc,mcc,real_bs_score,real_bs_score,mismatch_score,mismatch_score,score_gap,score_gap
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,split,,,,,,,,,,,,,,,,,,,,
bscan_hnaug,test_lower_intron_hardneg,160.0,140.2105559506844,61.666666666666664,8.082903768654761,0.8427346700127156,0.0066195041511697035,0.8384089386570982,0.007605679279799223,0.7534765248519895,0.0030933005560596534,0.7320837674274007,0.012281877001993223,0.5145290161094528,0.007788447236919371,0.6715098818143209,0.04081836755707421,0.17087730268637338,0.037448023799920994,0.5006325791279475,0.007934582094649974
bscan_hnaug,test_ls_lower_intron_hardneg,160.0,140.2105559506844,61.666666666666664,8.082903768654761,0.9011596975225326,0.004922531362018659,0.907048014232228,0.006835278953258621,0.7962274542200193,0.017701518772302846,0.7676203451028042,0.025907128689933466,0.6109938790669215,0.029568770630430747,0.6715098818143209,0.04081836755707421,0.08648183941841125,0.007817736473989733,0.5850280423959097,0.033145606302006726
bscan_hnaug,test_standard,160.0,140.2105559506844,61.666666666666664,8.082903768654761,0.8718355161357246,0.003969069003420613,0.8992512451434655,0.005769778088251219,0.8032617671345995,0.011625027436251946,0.7737581429204692,0.020047577772477836,0.6282794823633033,0.016912588044709728,,,,,,
bscan_hnaug,valid_lower_intron_hardneg,160.0,140.2105559506844,61.666666666666664,8.082903768654761,0.8442934127203893,0.003818669554819604,0.8408457062162783,0.0033554327957124406,0.7543026297673138,0.002302867779661012,0.7357521787027617,0.01149192362070712,0.5147677756753756,0.0076497110572011995,0.6791021029154459,0.04284971030639135,0.17899421354134878,0.040363855024252174,0.5001078893740972,0.005736534742192321
bscan_hnaug,valid_ls_lower_intron_hardneg,160.0,140.2105559506844,61.666666666666664,8.082903768654761,0.9005985535600168,0.0035321716823335245,0.9067113328039702,0.004589633986447475,0.7972600853641746,0.010656299787448104,0.7712455616928778,0.019745174450185157,0.6107036609172233,0.013220938760285269,0.6791021029154459,0.04284971030639135,0.09373228251934052,0.017238448573599824,0.5853698203961054,0.025735926487910486
bscan_hnaug,valid_standard,160.0,140.2105559506844,61.666666666666664,8.082903768654761,0.8757510238482369,0.006360657445353495,0.9007149370455769,0.006663524110275641,0.8055612912106821,0.01103931098654104,0.7785138014982621,0.019242665371428887,0.6304505951035076,0.016479773768083975,,,,,,
circcnn_hnaug,test_lower_intron_hardneg,160.0,140.2105559506844,47.0,22.715633383201094,0.8363875500086074,0.00850633975389301,0.8291202345059926,0.016696682344989604,0.751342420487402,0.005428929957907859,0.7318619316913302,0.007163018012828106,0.5080925024021162,0.010428477731265524,0.6755430698394775,0.01030921659119576,0.17939118047555289,0.007378983165203346,0.4961518893639247,0.01497771887091552
circcnn_hnaug,test_ls_lower_intron_hardneg,160.0,140.2105559506844,47.0,22.715633383201094,0.8968184098441497,0.004470695259989112,0.8950417307545223,0.005458885273133836,0.795470191380972,0.003702142271719341,0.7684188968140457,0.006028971708762174,0.6077635530383015,0.005734192229798787,0.6755430698394775,0.01030921659119576,0.09169193357229233,0.0045627120632017425,0.5838511362671852,0.005831137769338842
circcnn_hnaug,test_standard,160.0,140.2105559506844,47.0,22.715633383201094,0.8723874744583964,0.010211294544857967,0.8945771388467322,0.00961892760773712,0.804018717313515,0.0032922856355369116,0.7758899877222611,0.0006095934695351452,0.6282300295859768,0.01171708143125173,,,,,,
circcnn_hnaug,valid_lower_intron_hardneg,160.0,140.2105559506844,47.0,22.715633383201094,0.8362778178432405,0.004806749572867158,0.8310692859587209,0.007525820376940079,0.748451053283767,0.004176734493217031,0.7317131414304873,0.007019521202417133,0.5008399498721718,0.007274200094862741,0.6813871463139852,0.010634609224641503,0.19056913256645203,0.003990063979366614,0.49081801374753314,0.006690307798150148
circcnn_hnaug,valid_ls_lower_intron_hardneg,160.0,140.2105559506844,47.0,22.715633383201094,0.8961431262310035,0.005891938000584245,0.8941950423299055,0.006514148644296038,0.7969847170590665,0.005856029276645178,0.7716692065794168,0.0073248919798622105,0.6092338286159372,0.012307323115253526,0.6813871463139852,0.010634609224641503,0.09706320116917293,0.011666529768651809,0.5843239451448122,0.008888082427726868
circcnn_hnaug,valid_standard,160.0,140.2105559506844,47.0,22.715633383201094,0.8793653181237254,0.007540086354140504,0.8974717701073059,0.006562748202156243,0.8070755041640857,0.0010185593356010932,0.7804889013060992,0.003062699871354794,0.6330789757497995,0.00577111488911664,,,,,,
