profile_model,model,variant,external_auc,external_auc_std,external_prc,external_prc_std,external_mcc,external_mcc_std,arich_overreliance_risk,arich_signed_effect,arich_logit_risk,hardneg_auc_mean,hardneg_auc_std,hardneg_prc_mean,hardneg_prc_std,hardneg_mcc_mean,hardneg_mcc_std,hardneg_score_gap_mean,duplex_channel,duplex_auc_gain,duplex_prc_gain,duplex_mcc_gain,external_preserved,display,motif_control_score,external_score,duplex_score,hardneg_score,combined_biological_profile_score
bscan_unified_fm+duplex,bscan_unified_fm,duplex,0.8449031177283052,0.013920340205547313,0.7375461174665314,0.024488321795331204,0.6959234345659701,0.0700834062438392,0.0009681678399044999,0.0006832980198457,0.030085059567923334,0.5222550339661297,0.0024629861294527,0.5269294385504502,0.0131256262422522,0.0324519011025675,0.0272561869810025,0.0062306652985304,True,0.0030988831411434825,0.01657127237528777,-0.0031281677325672996,True,BSCAN-RNA-FM + duplex,1.0,0.9833550095740886,1.0,0.6514610845194433,0.9418934160288475
bscan_unified_ernie+duplex,bscan_unified_ernie,duplex,0.8412476239156922,0.015804899951366587,0.7349303823721969,0.02487685235950976,0.678321350384697,0.04632605070421924,0.0045497521556712005,-0.0045497521556712005,0.0265889989383317,0.5332512436780111,0.0052615696893123,0.5410800896349964,0.0069498403150088,0.0060732596532759,0.010519194287032,0.0056401220089576,True,0.003429014159169852,0.014187032589691895,-0.005272297942716997,True,BSCAN-RNAErnie + duplex,0.9856497849556675,0.9698690167619576,1.0,0.6952419921618969,0.9401529009298866
bscan_unified_msm+duplex,bscan_unified_msm,duplex,0.8474926660261325,0.014292527926863245,0.7438229554839884,0.027571074463691,0.7105834268533748,0.04187256892317875,0.006659084040671534,-0.006659084040671534,0.02067141521995147,0.5087844591828703,0.0076176099761561,0.5139543115567947,0.0180907608006203,0.0,0.0,0.0037386614793127,True,0.0032034409219804383,0.01724063787310537,-0.0019072455415152234,True,BSCAN-RNAMSM + duplex,0.9771983948777148,0.9989390615310972,1.0,0.45151917689857535,0.911656146790099
bscan_unified_bert+duplex,bscan_unified_bert,duplex,0.8478067866524815,0.012855033734243826,0.7333067102459733,0.022306542166128616,0.6819502766644017,0.06759962911005718,0.006919970751411267,0.006919970751411267,0.0321592559546542,0.5024025037344874,0.002167889855846,0.5225399765096466,0.0055826136954567,-0.0118506782790478,0.0161699560793602,-0.0042067589741883,True,0.0020425260884963103,0.011129266646397018,-0.005687212719434953,True,BSCAN-RNABERT + duplex,0.9761531087497732,0.9752263948471137,1.0,0.37763026048206666,0.8920120544562431
bscan_unified_fm,bscan_unified_fm,raw,0.8418042345871617,0.0142599877795041,0.7209748450912435,0.0208445538012818,0.6990516022985374,0.0685943062178826,0.0009681678399044999,0.0006832980198457,0.030085059567923334,0.4941367233466795,0.0055459633897404,0.499305008504856,0.0043357978366285,0.001187883547241,0.0099491080997437,-0.0009931723276773,False,0.0,0.0,0.0,True,BSCAN-RNA-FM,1.0,0.9627212845404602,0.0,0.3006307703365752,0.6320470651396474
bscan_unified_msm,bscan_unified_msm,raw,0.844289225104152,0.0143973723338975,0.7265823176108829,0.0213062953773041,0.7124906723948901,0.0409022766614574,0.006659084040671534,-0.006659084040671534,0.02067141521995147,0.494665460536341,0.0037783255145925,0.4966087447452321,0.0108682569066584,-0.0047469126922357,0.0082218939620457,0.0004578630129496,False,0.0,0.0,0.0,True,BSCAN-RNAMSM,0.9771983948777148,0.9769348094707421,0.0,0.2890205434682095,0.6295798635544199
bscan_unified_bert,bscan_unified_bert,raw,0.8457642605639852,0.0136379054558262,0.7221774435995763,0.0182171583417497,0.6876374893838365,0.0652469638421273,0.006919970751411267,0.006919970751411267,0.0321592559546542,0.4970802152310075,0.0026222055555451,0.5113999277009523,0.0094651864484965,-0.0169856729421552,0.024814300675798,-0.004902422428131,False,0.0,0.0,0.0,True,BSCAN-RNABERT,0.9761531087497732,0.962880344645847,0.0,0.2955611495030792,0.6253805702389517
bscan_unified_ernie,bscan_unified_ernie,raw,0.8378186097565224,0.0162435545120953,0.720743349782505,0.0209001067266795,0.683593648327414,0.045698984917272,0.0045497521556712005,-0.0045497521556712005,0.0265889989383317,0.493564820022158,0.0056183117325653,0.4915967715347308,0.0077740372161236,0.003554058298763,0.0061558095465194,-0.0006208022435505,False,0.0,0.0,0.0,True,BSCAN-RNAErnie,0.9856497849556675,0.9525933403064853,0.0,0.2773552655150306,0.6214234051734413
bscan,bscan,raw,0.7204152221768421,0.0209763036904556,0.6254597541492012,0.0154160074132563,0.2940438544996755,0.0485109968855612,0.011857773657256232,0.011857773657256232,6.059759356248093,0.5350901758371819,0.0220839758262024,0.5418399001612535,0.0026837971801941,-0.0624927249130304,0.1162618448120806,-0.0146367549896239,False,0.0,0.0,0.0,True,BSCAN,0.9563689776786507,0.5788207332294996,0.0,0.435105916877721,0.5069453885816457
circcnn,circcnn,raw,0.7041348724873756,0.0127039834971567,0.61511758087681,0.0094658576459852,0.2529714298436073,0.0434467523756431,0.0056902182322199,0.0056902182322199,4.361001468899197,0.5306015829884977,0.0162987033612056,0.5403974747407299,0.004553959633767,-0.0482991426965303,0.0706820022831511,-0.0080513159434,False,0.0,0.0,0.0,True,CircCNN,0.9810803173663678,0.5356517254052094,0.0,0.47821943103624087,0.5044810978888514
